text,predicted,true
"deep rising is one of "" those "" movies . 
the kind of movie which serves no purpose except to entertain us . 
it does not ask us to think about important questions like life on other planets or the possibility that there is no god . . . screw that , it says boldly , let's see some computer generated monsters rip into , decapitate and generally cause irreparable booboos to a bunch of little known actors . 
heh ! 
them wacky monsters , gotta love 'em . 
of course , since we can rent about a thousand b movies with the same kind of story , hollywood must give that little extra "" oumph "" to get people in theaters . 
that is where deep rising fails , which is a good thing . 
confused ? 
let me explain : 
despite all them flashy effects and big explosions , deep rising is still , at heart , a good 'ol b movie . 
luckily , it's a very good b movie . 
the worst cliches in movie history are a b movie's bread and butter . 
therefore , things that would destroy a serious movie actually help us have a good time while watching a movie of lower calibre . 
of course we know there's a big slimy creature behind that door , that one person will wander off to be picked off by said monster and we always know which persons or person will make it out alive . 
we just don't know when or how horrible it will be . 
i went to see deep rising with my expections low and my tolerance for bad dialogue high . 
imagine my surprise when i discover that deep rising is actually , well , pretty darn funny at times . 
a funny b movie ? 
well , that's new . 
these flicks are not supposed to make us laugh . 
 ( except for a few unintended laughs once a while . ) 
and before you know it , treat williams , wes studi and famke jansen appear on the big screen . 
hey ! i know them guys ( and gal ) from a couple of other movies . 
cool . 
familiar faces . 
so far so good . 
our man treat is the hero , he'll live . 
wes is a staple of b movies , he is the token victim . 
we know he'll buy the farm but he will take a few creeps with him on the way out . 
famke is the babe , 'nuff said . 
there is also a guy with glasses ( the guy with glasses always dies ) a black person ( b movie buffs know that the black guy always dies , never fails ) and a very funny , nerdy guy . 
 ( ah ! 
comic relief . 
how can we possibly explain having to kill him . . . let 
him live . ) 
after the first fifteen minutes i felt right at home . 
i know who to root for and who i need to boo too and a gum to chew . 
 ( please kill me . ) 
suffice it to say that for the next hour and a half i jumped out of my seat a few times , went "" ewwww "" about a dozen times and nearly had an orgasm over all the explosions and firepower our heroes were packing . 
i'm a man , we nottice these things . 
all in all , i'd recommend deep rising if you are looking for a good time and care to leave your brain at the door . . . but 
bring your sense of humor and excitement in with you . 
the acting is decent , the effects top rate . 
how to best describe it ? 
put together the jet ski scene from hard rain , the bug attacks from starship troopers , a couple of james bond like stunts and all those scenes from friday the thirteenth and freddy where you keep screaming "" don't go there , he's behind you "" and you end up with deep rising . 
for creepy crawly goodness , tight t-shirts , major firepower and the need to go to the bathroom every fifteen minutes from seing all that water .",0,1
"written by mark rosenthal and lawrence konner 
starring charlize theron , bill paxton , david paymer 
as reviewed by james brundage 
i'm beginning to get fed up . 
over my four years as a critic , the thing which has kept me going is the moderate balance of films . 
the good balances the bad . 
i try to see both in equal proportions . 
but disney's mighty joe young remake marks the fourth week in which i haven't seen a truly terrible movie . 
it's a backwards machismo , i suppose , the urge to see the things which you so loathe ; but i need to see a bad film every once in a while . 
and , you know what , mighty joe young doesn't qualify . 
far from being bad , mighty joe young is actually a family fun movie . 
it's enjoyable , appropriate , cute , cuddly , and all of those other things that i've been seeing in every movie since a bug's life . 
mighty joe young tracks a 2 , 000 pound gorilla in the wilds of africa that is taken to a reserve in . . . 
california ? 
 . . . 
for safe-keeping . 
okay . 
a little unrealistic , but who ever said a kid's movie had to have the slightest hint of realism . 
the first half of the movie is a gorillas in the mist-esque hatred of poachers woman-of-the-wild motif . 
the second half is a straight up parody of king kong , awestruck onlookers and all . 
mark one down . 
i'm feeling relaxed . 
it is , as a point of fact , an extremely un-creative movie . 
but , as a vetern , i can say quite honestly that creativity doesn't count for as much as it should . 
so that saves mighty joe from my wrath , although my colleagues and cohorts and surely bashing this film at this very moment . 
this is not the film to take a girl on a date to . 
it's not the film for you . 
it's the film for you and your family . 
when you're right alongside your kid , all of the normal rights and wrongs slip away . 
the same thing happens when you watch a horror movie or an action flick . 
it becomes fun . 
all you have to do to enjoy mighty joe young is shut up and watch .",0,1
"if chris farley had strapped some fake mutton-chop sideburns to each side of his head , spoken with a thick irish accent , and tried his damnedest to play it straight , he wouldn't have been nearly as funny as brendan gleeson in "" i went down . "" 
gleeson , who's not dissimilar to the late "" saturday night live "" alumnus in terms of physical attributes , plays a character named bunny kelly in this delightful irish film . 
bunny is sent to county cork to "" retrieve "" one frank grogan for an irish gangster called tom french ( well dressed like all good gangsters should be and menacingly portrayed by tony doyle ) . 
bunny is to accompany git hynes ( peter mcdonald ) , recently released from prison and obligated to tom for disfiguring one of his cronies . 
that tom french is a mean bollocks . 
he wants frank back . 
and a small matter of some ? 25 , 000 that tom's wife was supposed to have given to frank . 
for this he won't break anyone's thumbs . 
maybe . 
inventively and engagingly written by conor mcpherson and directed by paddy breathnach , "" i went down "" follows the trials and tribulations of git and bunny as they knock around peat bogs , dimly-lit pubs , and seedy hostelries trying to stay alive and out of trouble . 
mcdonald is a newcomer and a promising one at that , but gleeson has been in over a dozen movies , most recently as father bubbles in another film with a very irish accent on hilarity , "" the butcher boy . "" 
even if you can't comprehend half of what they're saying , gleeson and mcdonald together make "" i went down "" a trip worth taking . 
the film is in many ways reminiscent of another "" little "" independent feature , 1991's "" highway 61 . "" 
that film , too , was a road movie and it shares the same kind of wry dialogue and humorous situations as mcpherson's tale : whimsical observations on life , carefully-crafted vignettes , deadpan conversational asides , and scenes that'll make you laugh out loud . 
witness the episode in which our good-natured protagonists bind frank ( played by peter caffrey ) to a hotel bed , leaving him with only the tv remote for company . 
that sequence alone is on a par with satan locking himself out of his car in "" highway 61 . "" 
what's also charming about "" i went down "" is how the relationship between buddy and git develops . 
their trip becomes an education for both of them , but the way it's handled is neither sappy nor labored . 
the only thing in the film which approaches clunkiness is the culminating explanation , via flashbacks , of the relationship between frank and tom . 
it's a little too hollywood , and what makes "" i went down "" so refreshing is the fact that it rarely panders to traditional conventions of hollywood gangster movies . 
sure it's gritty--make that grubby--but it's also pretty goofy . 
although "" i went down "" emphasizes the comedic elements of dis-organized crime , there are a couple of fairly brutal scenes in keeping with the subject matter . 
don't let these deter you , though ; "" i went down "" is a little gem . 
it's only playing at one philadelphia-area theater--and i suspect it won't be there for long--so catch it while you can .",0,1
"very few people would be unaware of beavis & butt-head ( both created and narrated by mike judge ) . 
they are the two animated mtv characters who have the most annoying laughter know to human kind . 
you may have seen them on their television program , as they snigger and make lude remarks about women , anything related to sex , and the music film clips that they watch . 
in beavis & butt-head do america the pair finally make their big screen debut , to the delight of some , and the deplore of others . 
beavis & butt-head ( yes , those are their real names ) , are two very ugly teenagers with extremely warped minds driven by raging hormones . 
they live their lives in front of the television . 
the worst possible event occurs to the pair when their television is stolen . 
this happens as they sleep , and when they awake it takes them a few minutes just to decipher that the television has gone . 
beavis even tries to use the remote , though there is no television there . 
the two spot a van outside and two sinister looking men carrying a television . 
even at this point they have no idea what has happened . 
they look around , seeing all the evidence , but are completely oblivious to the fact that these men have just stolen their television . 
before the movie i knew that they were stupid , but i didn't realise just how stupid . 
this is typical of their behaviour throughout the film . 
eventually they realise that their television has been stolen , so they leave their sofa to go search for a television . 
luck would have it that they stumble into a hotel room ( looking for a television ) where a man is awaiting two guys whose task it is to kill his wife . 
this man , thinking that beavis & butt-head are the assigned killers , tells them that they can have $10 , 000 if they "" do his wife "" . 
beavis & butt-head , being the ignorant fools that they are , think that he is offering them $10 , 000 dollars to have sex with his good looking wife . 
they are taken to the airport where they fly to las vegas to "" do her "" . 
to them , this is the best day of their lives . 
not only are they going to lose their virginity ( one of their lifelong aims ) , but most importantly , they will have enough money to buy a big screen tv . 
inevitably they become caught up in a huge crime , and unbeknown to them , are tracked across the country by the fbi . 
oddly enough , it is their complete stupidity that spares them from being caught , as a result the fbi is convinced they are criminal masterminds . 
they end up travelling right across america , visiting places such as the hoover dam and washington dc . 
the irony is that although they visit so many grand and spectacular locations , their one time out in the big world away from their television , they are completely oblivious to it . 
at old faithful they are far more fascinated with the infra-red operated urinals than with the geyser itself . 
beavis & butt-head essentially have the journey of their lives . 
they even get to meet the president . 
but all they care about is getting their television back , and losing their virginity . 
this is one of the many reasons that the film is so funny - it's unbelievable just how stupid they are , and how they can be so oblivious to everything around them . 
the humour is certainly crude , but then beavis & butt-head are just that ; crude , lude and rude . 
in the end you can't help but feel sorry for them , a pair of anti-social couch potatoes whose life is television . 
in this respect , and also with regard to authority ( such as the fbi ) mike judge is quite critical of amercian society . 
if you are easily offended , or find this pair particularly annoying , steer clear . 
otherwise , it should keep you laughing the whole way through . 
one note of warning : don't take friends who like to imitate beavis & butt-head . . . . . you'll 
never hear the end of it !",0,1
"the rich man's wife is one of those movies like final analysis or body double , where the story and characters are so one-dimensional and contrived that you know you shouldn't be enjoying yourself . 
but somehow , the movie just tries so hard that you begin to forgive it and get into the swing of things . 
not that it's bad , it's just that it's been done before ; and better , in my opinion . 
i realize that this is going to sound pretty bizarre , but it's probably the best analogy that i can come up with right now ; you know how when you see a spider or something in your toilet , striving helplessly to get out , and instead of just flushing him , you end up kind of rooting for the little guy ? 
that's basically how i felt about this movie . 
i mean , it's not very good , but it's not completely bad either . 
the wife of the title is josie potenza ( played nicely by halle berry ) . 
she is married to tony ( christopher mcdonald . . . you 
know , the guy who looks like joe piscapo ) , a really stressed-out businessman who drinks way to much and doesn't give josie the attention she deserves ( * cough , cough * ) . 
thus , she is driven into the arms of another man , jake golden ( clive owen ) . 
near the beginning of the film , josie decides to try and work things out with tony by dumping jake and going on a vacation to a remote cabin in the woods . 
once there , however , tony has to leave almost immediately due to business details ( i'm still not quite sure what line of work he's in ) . 
making the best of her situation , josie stays there and begins making the rounds at the local bars . 
one night , she meets a stranger named cole ( peter greene , finally getting a meaty role ) . 
they have dinner together , and eventually , both josie and the audience start to realize that cole is homicidal . 
after learning that she is not happily married , cole offers to "" take care "" of the problem . 
managing to escape from the psychotic maniac , josie returns home and starts a reconciliation with her estranged and very wealthy husband . 
but then one night , cole shows up . . . 
and here is where the fun begins . 
from this point on , it's going to be a no-holds- barred cliche-fest , ripping off every movie from strangers on a train to the usual suspects . 
this is why most critics panned this movie when it first came out . 
and for the most part , they're right ; the rich man's wife has nary one original bone in it's body . 
but who cares ? 
if you're looking for good ol' dumb suspense movie , you can't do much better than this . 
and if you suspense buffs aren't already sold , it has a killer of an ending too .",0,1
"an indian runner was more than a courier . 
he * became * the message he was carrying . 
what danger is a bear , to a message ? 
i used to think sean penn was an immature , arrogant , photographer- punching , madonna-marrying , loudmouth . 
but all that has changed now . 
the guy has grown up . 
and that's not all . 
it seems that sean penn has talents both as a writer and a director , if this film is any indication . 
one might imagine a movie with plenty of ruthless rage and showy machismo , given penn in charge of bronson and and hopper . 
but , no . 
this film is about a real struggle , and the victories and defeats are not simple . 
penn lets the story unfold at a pace dictated by the lives of the characters , without unnecessary rush or flash . 
the focus of the story is two brothers . 
david morse is the brother who has grown up in the small midwestern town in which they were raised , tending a failing farm and finally becoming a police officer . 
viggo mortensen is the wild brother , whose wild behavior seems to be a reaction to some ancient pain that he can't name , much less resolve . 
the film picks the story up on the day when mortensen returns from vietnam , and morse coincidentally encounters an armed youth fleeing for the state line . 
it becomes clear that some kind of conflict threatens the link that the brothers once shared . 
the film is unobtrusive , simple , direct , plain , and sincere . 
it isn't exactly perfect , but its sincerity is well invested in the struggle of the two brothers to identify the sickness before it destroys them . 
life seems to move forward a little faster than they can get a handle on their problems . 
this is a good film without big budget sets , or big name stars pushed into your face . 
in fact , i'm reviewing it because i suspect that it may not get much marketing . 
there were perhaps 10 others at the showing i saw . 
i thought the structure was clean and not oversimplified , though there are a few free-form sections which also work very well . 
the obligatory 1960s music seemed a little cliche , but what are you going to do--this movie * does * take place in the 1960s after all . 
in my opinion , it is worth full-price admission .",0,1
"america has finally gotten what it's needed for years : a compassionate sincere president with impressive ethics and charisma . 
regretfully it's only a movie . 
president james marshall ( harrison ford ) is fed up with terrorist activities . 
teaming up with the russian government , he orders a strike force capture of alexander radek , a reactionary general ready to re-unite the soviet union under his fascist reign . 
during a celebration dinner , marshall announces to the world that he will send troops to fight oppression wherever it exists . 
 "" it's your turn to be afraid , "" he declares . 
returning home on air force one , he gets the chance to demonstrate his words personally . 
ultra-nationalist militants loyal to radek and lead by ivan korshunov ( gary oldman ) hijack the plane threatening to kill a hostage every half hour until the general is released . 
marshall has a chance to escape in a jettisoned capsule ( which clinton says doesn't exist in real life ) but refuses , preferring to stay and fight . 
director wolfgang peterson ( "" das boot "" , "" in the line of fire "" , "" outbreak "" takes the over-used "" die hard "" theme and gives us something new in a film that combines brilliant acting with hold-your-breath intensity . 
if you can take your eyes off the screen , steal a look at the audience . 
everyone is totally engrossed . 
the two actors do what they do best and they are probably the best there are at it . 
oldman has become typecast as a psychotic sadist and no wonder -- he does it so well . 
when he engages the teenage first daughter in sensitive conversation about his family and the next minute threatens to blow a hole in her forehead , you know that he's over the edge in the manner that people with a cause can become . 
you are convinced that young alice could end up terminated at any time . 
when korshonov executes passengers , there is a frightening reality to it . 
the guns in this film are deadly weapons , not cartoons . 
harrison ford has done one role for several years . 
his mastery of the man in the suit propelled into desperate action is in top form here . 
marshall is a medal of honor recipient who now has a desk job . 
realistically , he's a man afraid , but not afraid to act . 
ford is one of the few actors that could make us believe that the president of the united states could be an action hero . 
indiana jones in the oval office . 
he and oldman's archetypes match up perfectly . 
the other roles also go to accomplished actors . 
glenn close as the determined but unsure vice-president is the picture of an executive forced into a position that she's not quite ready for . 
dean stockwell as defense secretary eager for the authority ( "" i'm in charge here ! "" ) 
is her political nemesis and turns in a good alexander haig performance . 
of course the politics are all wrong . 
a cowboy president ( even down to his name ) with big guns shoots his way through problems . 
much like the american collective memory of jfk's camelot , the image is wondrous if you don't look too deep . 
the pulls on the patriotic heartstrings would be too much in any other film , but they work here . 
no matter what political spin you put on the story , the movie is an outstanding one . 
i left the theater feeling that there is hope for the country's future : not a common belief nowadays . 
now if we only can get ford to run for president . 
just because one actor didn't work out as chief executive doesn't mean that a different one couldn't . 
 ( michael redman has lost count of how many years he's been writing this column -- 21 years . . . 22 years -- while watching the sunflowers outside his window swaying in the cool breezes . )",0,1
"set in the wild west , this carry on centres around the arrival of the rumpo kid ( sidney james ) and his cronies in stodge city . 
his dodgy dealings and summary shootings aggravate judge burke ( kenneth williams ) so much that he asks sheriff albert earp ( jon pertwee ) to drive rumpo out of town . 
instead , the rumpo kid shoots the sheriff dead . 
therefore , judge burke sends for a law marshall to come in and clean up the city . 
due to a misunderstanding , an english sanitary engineer called marshall p . knutt ( jim dale ) is assigned , without knowing it , as the law marshall for stodge city . 
he arrives at the same time as annie oakley ( angela douglas ) who is seeking revenge for her father , the sheriff's murder . 
when marshall arrives at stodge city , he soon becomes aware of the misunderstanding and due to his rather limited intellect , he is manipulated by the rumpo kid and always ends up getting things wrong . 
in the end , there is a head-to-head between rumpo and marshall . 
with the rumpo's past experience , it would seem that marshall is out of his depth , but using his sanitary skills and learning the ways of the west from annie oakley , he at least stands some chance ! 
sid james , with an american accent , is perfect as the rumpo kid , a part which suits him down to the ground . 
jim dale provides one of his best carry on performances as the stupid sanitary engineer , and angela douglas is very effective in her role as the revengeful daughter . 
other regulars that appear in this movie include charles hawtrey and bernard bresslaw ( in his debut ) as big heap and little heap respectively . 
big heap is the local indian leader and the crazy casting of hawtrey for this part is very amusing , as is his performance : - he steals every scene he is in even though he does not enter the film until thirty minutes past . 
joan sims provides useful and amusing support as belle , the local bar owner who takes a fancy to the rumpo kid . 
however , the part of doc played by peter butterworth and sheriff albert earp played by jon pertwee are not really necessary , and pertwee's performance is rather poor . 
kenneth williams uses a new voice but struggles with the weak part of the 'judge' . 
even so , this carry on was sid james and kenneth williams' favourite . 
a very different carry on film , in that it is played more seriously by the actors and possesses more realism than any other carry on . 
the death count is the highest of any carry on film . 
sets , costumes and action sequences are all very commendable . 
the songs that are included in the movie ( the title song and annie's song ) are very impressive . 
a strange but therefore very interesting carry on film . 
not the best of its kind but it is certainly the most distinctive film of the series .",0,1
"david lynch's "" blue velvet "" begins and ends with colorful , bright shots of flowers and happy americans mowing their lawns in a seemingly perfect american town . 
however , what lies inside this nominally safe atmosphere is a "" strange world "" of drug dealers , sadists , and murderers . 
the opening and closing shots are a wonderful contrast to the rest of the gloomy , disturbing film . 
they show not to make assumptions from first glance and that oddness is common in all places under all circumstances . 
odd would be a perfect adjective to describe this film , its characters , its direction , and its story . 
thankfully , the obscurity that "" blue velvet "" relies on is enough to make this film enjoyable . 
since its elements are so originally weird , you never know what will happen next . 
this is the main goal of a movie ; to be spontaneous and surprising . 
 "" blue velvet "" miracuously succeeds at this even though it contains mediocre acting . 
lynch creates such a hypnotic world that it is hard to resist his style of story telling . 
the film starts off with the discovery of a severed ear by a college boy ( kyle maclachlan ) . 
from this point maclachlan finds himself involved with a lounge singer ( isabella rossellinia ) who has lost her son and husband to a kidnapping . 
the plot is much more detailed than the aforementioned and this is what makes david lynch's story telling so amazing . 
maclachlan becomes involved in a forbidden relationship , in another relationship that could have been taken straight out of a high school flick , and he is put into the shoes of a drug dealer who has some wild adventures with some wild friends . 
through these multiple stories , maclachlan lives multiple lives and as we follow maclachlan , we are introduced to a variety of interesting subplots . 
lynch masterfully builds these subplots but he does not piece them all together in the very end and make a convenient crowd pleasing conclusion . 
instead he leaves some ambiguity and forces those curious enough to get the real meaning to watch the film several several times . 
lynch has been known to do this with a number of his films meaning he may be too esoteric for some hoping to get a hollywood ending where the good guy gets the girl and everything turns out fine . 
however , for fans of odd difficult indies , "" blue velvet "" could be just what they are looking for . 
it is very hard to discuss "" blue velvet "" without discussing the performance of dennis hopper's sadistic frank . 
most of the other actors in the film were not very memorable . 
kyle maclachlan lacked one important aspect for his role , a personality . 
laura dern was consistently annoying . 
but dennis hopper stole every scene he was in . 
his evil character was just plain old frightening in his mannerisms from his obsession to velvet to his incessant breathing from a gas mask . 
frank is a character that comes along once in a blue moon . 
many producers know this and have inevitably begun to typecast hopper as the bad guy . 
just like his villain in "" speed "" , hopper is over the edge with cursing and screaming every chance he has to speak . 
this harshness is exactly what frank is , so weird and twisted that it is hard not to look at him , even if he theatens you to look away . 
 "" blue velvet "" has characters and stories you will never see in a movie again . 
for this sole reason it is recommended . 
but also see it to admire lynch's obsession to avoid the norm . 
even if this film is a little too weird for you , it's hard not to congratulate a guy for trying something new and sticking to it .",0,1
"after the simple looking little spacecraft lands in a automobile wrecking yard , out steps a steel-gray , human-like creature with aquamarine eyes and clad in a muscular suit . 
spencer , the boy who observes this , having seen his fill of science fiction flicks , figures this thing must be a robot from outer space . 
with the exception of disney and a few others , most studios view children's films as a way to ship a cheap and unimaginative product and thereby make a quick profit . 
star kid stands out as that rare kids' film that is undoubtedly low-budget but is also highly imaginative . 
remember , the robot ? 
it wasn't one at all but rather a "" phase one assault cyborsuit . "" 
the cyborsuit is actually a prototype combat enhancer developed by the trelkins and jettisoned for latter retrieval when they are under attack from the invading broodwarriors . 
the significant twist in the story is that spencer gets to go inside the cyborsuit , and the cyborsuit , nicknamed cy , has plenty of spunk . 
cy keeps questioning the kid about everything including words like "" cool . "" 
upon hearing that "" command , "" cy starts rapidly decreasing the temperature in the cyborsuit until spencer screams for him to stop . 
and when cy speaks , we see spencer's view , the backside of cy's lips and eyes . 
as 12-year-old spencer , joseph mazzello from the jurassic park film series gives a remarkably good performance as a wimpy and initially tongue-tied kid . 
even when enclosed in his powerful new cyborsuit , he has his fears but he learns to overcome them . 
 "" if you run away , things don't get better , whether it's bullies , spiders , or girls , "" his science teacher advises him after he has difficulties dealing with all three . 
turbo ( joey simmrin ) , the school's chubby bully , beats up on him , spiders frighten him , and , most embarrassing of all , he can't speak when in the presence of his would-be girlfriend . 
with his cyborsuit on , he learns some bravery that transcends his time inside cy . 
spencer lives with his dad and his older teenage sister stacey , played by a smart-mouthed ashlee levitch , who looks like a younger sarah jessica parker . 
stacey derides her brother , whom she barely tolerates , by referring to him only as "" the fungus . "" 
this whole setup for spencer's downtrodden and delightfully funny life makes his acquisition of some superhuman powers a source of mirth and empowerment . 
the beauty of mazzello's performance is that you can vicariously experience his fear and share in his enjoyment when he goes after the bully to teach him a lesson he'll not soon forget . 
the ensuing mayhem has some of the home alone antics , but the slapstick is kept tightly under control by writer and director manny coto so that one never feels embarrassed to be laughing . 
the romantic angle is handled ever so delicately . 
when cy wishes to know if spencer wants to mate with the object of his desire , michelle ( lauren eckstrom ) , his eyes open wide in revulsion . 
 "" mate with her ! "" 
spencer exclaims . 
 "" pllllleeeeease , i just like her that's all . "" 
the show has many funny twists . 
in one , cy sees a man in a barney-like costume and begins firing at him , thinking he is an alien life-form . 
soon things get way out of hand , and cy and spencer have to beat a hasty retreat . 
as proof positive of the show's class , it actually contains tasteful bathroom humor -- thought that was an oxymoron in a kids' picture , didn't you ? 
cy cannot allow spencer to leave the cyborsuit , and what happens when he needs to urinate becomes both sweet and hilarious . 
the director's staging of this sequence is one of the film's more charming moments . 
oh , and eating is pretty funny too . 
spencer , whose idol is the comic book character "" midknight warrior , "" gets to face the challenge of a lifetime when a broodwarrior comes to capture the cyborsuit . 
spencer's valiant battle gives him a chance to find his mettle . 
and the action sequences in the battle manage to be quite respectable for a kids' show full of inventiveness and lacking the usual repetition . 
for a family movie mixing humor , fantasy , and action , star kid delivers . 
although it's probably not the sort of movie you'd want to see without kids , with them you'll have a magical time with a relatively straightforward but well developed story . 
you'll be rooting for and laughing with spencer and his buddy cy all the way through . 
star kid runs 1 : 41 . 
it is rated pg for fantasy combat . 
although the basically cartoonish broodwarrior might scare the littlest kids , i saw none of this in evidence in our packed screening , so i would say the show is fine for kids five and up , and possibly the younger ones . 
my son jeffrey , age 8 , got really excited about the picture . 
he called it "" an especially good movie "" and gave it * * * * . 
when i asked him to tell me his favorite characters , he mentioned almost everyone in it from the boy to the cyborsuit to the bully .",0,1
